,,,,Touchdowns,Kicking,Misc,Player,Team,Gms,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,2Pt,Saf
JuJu Smith-SchusterJ. Smith-Schuster,KC,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tyjae SpearsT. Spears,TEN,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Amon-Ra St. BrownA. St. Brown,DET,4,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhamondre StevensonR. Stevenson,NE,5,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tyrique StevensonT. Stevenson,CHI,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Brenton StrangeB. Strange,JAX,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Patrick SurtainP. Surtain,DEN,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Courtland SuttonC. Sutton,DEN,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
D'Andre SwiftD. Swift,CHI,5,14,2,2,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Jonathan TaylorJ. Taylor,IND,4,24,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Adam ThielenA. Thielen,CAR,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brian ThomasB. Thomas,JAX,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jalen TolbertJ. Tolbert,DAL,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Justin TuckerJ. Tucker,BAL,5,39,0,0,0,0,0,0,0,0,0,0,18,7,0,0,,,,,,,
Tre TuckerT. Tucker,LV,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
D.J. TurnerD. Turner,LV,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
KaVontae TurpinK. Turpin,DAL,5,12,2,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
Nick VannettN. Vannett,TEN,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kenneth WalkerK. Walker,SEA,4,30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Darnell WashingtonD. Washington,PIT,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Christian WatsonC. Watson,GB,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Deshaun WatsonD. Watson,CLE,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Blake WhiteheartB. Whiteheart,CLE,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dontayvion WicksD. Wicks,GB,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jamaal WilliamsJ. Williams,NO,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jameson WilliamsJ. Williams,DET,4,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kyren WilliamsK. Williams,LA,5,42,7,6,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
